,Crop,N,P,K,pH
1420,Mango,20,20,30,4.9
1421,Grapes,20,125,200,3.9
1422,Jackfruit,75,40,50,4.9
1423,Guava,50,50,50,4.9
1424,Water Melon,100,10,50,5.4
1425,Musk Melon,100,10,50,5.4
1426,Apricot,40,50,25,6.4
1427,Apple,20,125,200,6.4
1428,Chickoo,40,30,60,4.9
1429,Custard apple,40,20,40,6.4
1430,Dates,40,125,20,6.4
1431,Figs,20,60,20,4.9
1432,Orange,20,10,10,3.9
1433,Papaya,50,50,50,5.9
1434,Aniseed,100,50,20,4.9
1435,Asafoetida,90,40,20,4.9
1436,Bay Leaf,100,50,25,4.9
1437,Black Pepper,100,60,50,4.9
1438,Cardamom,75,75,150,4.9
1439,Cinnamon,20,20,25,4.9
1440,Cloves,20,20,60,4.9
1441,Jaiphal(Nutmeg),20,20,60,4.9
1442,Ginger,40,50,20,4.9
1443,Turmeric,25,60,100,4.9
1444,Cashewnuts,70,40,60,5.9
1445,Raisins,60,30,30,5.9
1446,Coconut,20,10,30,4.9
1447,Almond Nut,70,20,10,5.9
1448,Arecanut,100,40,140,5.9
1449,Pistachio Nut,90,20,20,5.9
1450,Lemon Grass,25,40,40,5.4
1451,Cotton,120,40,20,5.4
1452,Jute,80,40,40,5.4
1453,Coffee,100,20,30,5.4
1454,Sunflower,50,60,30,5.4
1455,Rice,80,40,40,5.38
1456,Jowar(Sorghum),80,40,40,5.38
1457,Barley(JAV),70,40,45,5.38
1458,Maize,80,40,20,5.38
1459,Ragi( naachnnii),50,40,20,5.38
1460,Chickpeas(Channa),40,60,80,5.38
1461,French Beans(Farasbi),90,125,60,4.88
1462,Fava beans (Papdi - Val),90,125,60,4.88
1463,Lima beans(Pavta),40,60,20,4.88
1464,Cluster Beans(Gavar),25,50,25,4.88
1465,Soyabean,20,60,20,5.38
1466,Black eyed beans( chawli),20,60,20,5.38
1467,Kidney beans,20,60,20,5.38
1468,pigeon peas(Toor Dal),20,60,20,5.38
1469,Moth bean(Matki),20,40,20,5.38
1470,Mung beans,20,40,20,5.38
1471,Green Peas,40,35,55,5.88
1472,Horse Gram(kulthi),20,60,20,5.88
1473,Black Gram,40,60,20,4.88
1474,Rapeseed (Mohri),50,40,20,4.88
1475,Coriander seeds,90,20,20,6.38
1476,Mustard seeds,100,30,15,6.38
1477,sesame seed,30,15,30,6.38
1478,Cumin seeds,90,60,20,6.38
1479,Lentils(Masoor Dal),20,60,20,5.38
1480,Brinjal,80,15,40,6.38
1481,Beetroot,120,50,100,5.38
1482,Bitter Gourd,60,10,20,6.38
1483,Bottle Gourd,100,50,50,6.38
1484,Capsicum,100,20,60,6.38
1485,Cabbage,100,65,70,6.38
1486,Carrot,40,45,60,5.38
1487,Cauliflower,80,70,50,6.38
1488,Cucumber,60,60,85,6.38
1489,Coriander leaves,10,20,20,6.38
1490,Curry leaves,20,20,20,6.38
1491,Drumstick – moringa,40,20,10,6.38
1492,Chili,120,20,80,6.38
1493,Lady Finger,80,10,40,6.38
1494,Mushroom,100,50,60,6.38
1495,Onion,120,60,65,5.88
1496,Potato,180,60,90,4.88
1497,Pumpkin,80,50,30,5.38
1498,Radish,25,100,50,5.88
1499,Olive,100,60,30,6.38
1500,Sweet Potato,90,20,120,4.88
1501,Fenugreek Leaf(methi),30,25,40,5.88
1502,Spinach,60,60,50,5.88
1503,Ridgegourd,90,50,20,6.38
1504,Gooseberry(Amla),20,50,20,4.38
1505,Jambun(Syzygium cumini),10,10,10,4.08
1506,Ziziphus mauritiana(Bor),20,10,10,5.88
1507,Garcinia indica(kokam),40,25,50,4.08
1508,Tamarind,20,15,25,2.98
1509,Tapioca(Suran),50,50,50,5.38
1510,Garlic,50,10,60,5.38
1511,Lemon,20,10,10,2.98
1512,Tomato,100,40,90,5.88
1513,Ash Gourd,60,10,30,5.38
1514,Pineapple,160,40,120,6.38
1515,Pomegranate,20,10,40,5.38
1516,Banana,100,75,50,6.38
1517,Mango,20,20,30,4.88
1518,Grapes,20,125,200,3.88
1519,Jackfruit,75,40,50,4.88
1520,Guava,50,50,50,4.88
1521,Water Melon,100,10,50,5.38
1522,Musk Melon,100,10,50,5.38
1523,Apricot,40,50,25,6.38
1524,Apple,20,125,200,6.38
1525,Chickoo,40,30,60,4.88
1526,Custard apple,40,20,40,6.38
1527,Dates,40,125,20,6.38
1528,Figs,20,60,20,4.88
1529,Orange,20,10,10,3.88
1530,Papaya,50,50,50,5.88
1531,Aniseed,100,50,20,4.88
1532,Asafoetida,90,40,20,4.88
1533,Bay Leaf,100,50,25,4.88
1534,Black Pepper,100,60,50,4.88
1535,Cardamom,75,75,150,4.88
1536,Cinnamon,20,20,25,4.88
1537,Cloves,20,20,60,4.88
1538,Jaiphal(Nutmeg),20,20,60,4.88
1539,Ginger,40,50,20,4.88
1540,Turmeric,25,60,100,4.88
1541,Cashewnuts,70,40,60,5.88
1542,Raisins,60,30,30,5.88
1543,Coconut,20,10,30,4.88
1544,Almond Nut,70,20,10,5.88
1545,Arecanut,100,40,140,5.88
1546,Pistachio Nut,90,20,20,5.88
1547,Lemon Grass,25,40,40,5.38
1548,Cotton,120,40,20,5.38
1549,Jute,80,40,40,5.38
1550,Coffee,100,20,30,5.38
1551,Sunflower,50,60,30,5.38
1552,Rice,80,40,40,5.36
1553,Jowar(Sorghum),80,40,40,5.36
1554,Barley(JAV),70,40,45,5.36
1555,Maize,80,40,20,5.36
1556,Ragi( naachnnii),50,40,20,5.36
1557,Chickpeas(Channa),40,60,80,5.36
1558,French Beans(Farasbi),90,125,60,4.86
1559,Fava beans (Papdi - Val),90,125,60,4.86
1560,Lima beans(Pavta),40,60,20,4.86
1561,Cluster Beans(Gavar),25,50,25,4.86
1562,Soyabean,20,60,20,5.36
1563,Black eyed beans( chawli),20,60,20,5.36
1564,Kidney beans,20,60,20,5.36
1565,pigeon peas(Toor Dal),20,60,20,5.36
1566,Moth bean(Matki),20,40,20,5.36
1567,Mung beans,20,40,20,5.36
1568,Green Peas,40,35,55,5.86
1569,Horse Gram(kulthi),20,60,20,5.86
1570,Black Gram,40,60,20,4.86
1571,Rapeseed (Mohri),50,40,20,4.86
1572,Coriander seeds,90,20,20,6.36
1573,Mustard seeds,100,30,15,6.36
1574,sesame seed,30,15,30,6.36
1575,Cumin seeds,90,60,20,6.36
1576,Lentils(Masoor Dal),20,60,20,5.36
1577,Brinjal,80,15,40,6.36
1578,Beetroot,120,50,100,5.36
1579,Bitter Gourd,60,10,20,6.36
1580,Bottle Gourd,100,50,50,6.36
1581,Capsicum,100,20,60,6.36
1582,Cabbage,100,65,70,6.36
1583,Carrot,40,45,60,5.36
1584,Cauliflower,80,70,50,6.36
1585,Cucumber,60,60,85,6.36
1586,Coriander leaves,10,20,20,6.36
1587,Curry leaves,20,20,20,6.36
1588,Drumstick – moringa,40,20,10,6.36
1589,Chili,120,20,80,6.36
1590,Lady Finger,80,10,40,6.36
1591,Mushroom,100,50,60,6.36
1592,Onion,120,60,65,5.86
1593,Potato,180,60,90,4.86
1594,Pumpkin,80,50,30,5.36
1595,Radish,25,100,50,5.86
1596,Olive,100,60,30,6.36
1597,Sweet Potato,90,20,120,4.86
1598,Fenugreek Leaf(methi),30,25,40,5.86
1599,Spinach,60,60,50,5.86
1600,Ridgegourd,90,50,20,6.36
1601,Gooseberry(Amla),20,50,20,4.36
1602,Jambun(Syzygium cumini),10,10,10,4.0600000000000005
1603,Ziziphus mauritiana(Bor),20,10,10,5.86
1604,Garcinia indica(kokam),40,25,50,4.0600000000000005
1605,Tamarind,20,15,25,2.96
1606,Tapioca(Suran),50,50,50,5.36
1607,Garlic,50,10,60,5.36
1608,Lemon,20,10,10,2.96
1609,Tomato,100,40,90,5.86
1610,Ash Gourd,60,10,30,5.36
1611,Pineapple,160,40,120,6.36
1612,Pomegranate,20,10,40,5.36
1613,Banana,100,75,50,6.36
1614,Mango,20,20,30,4.86
1615,Grapes,20,125,200,3.86
1616,Jackfruit,75,40,50,4.86
1617,Guava,50,50,50,4.86
1618,Water Melon,100,10,50,5.36
1619,Musk Melon,100,10,50,5.36
1620,Apricot,40,50,25,6.36
1621,Apple,20,125,200,6.36
1622,Chickoo,40,30,60,4.86
1623,Custard apple,40,20,40,6.36
1624,Dates,40,125,20,6.36
1625,Figs,20,60,20,4.86
1626,Orange,20,10,10,3.86
1627,Papaya,50,50,50,5.86
1628,Aniseed,100,50,20,4.86
1629,Asafoetida,90,40,20,4.86
1630,Bay Leaf,100,50,25,4.86
1631,Black Pepper,100,60,50,4.86
1632,Cardamom,75,75,150,4.86
1633,Cinnamon,20,20,25,4.86
1634,Cloves,20,20,60,4.86
1635,Jaiphal(Nutmeg),20,20,60,4.86
1636,Ginger,40,50,20,4.86
1637,Turmeric,25,60,100,4.86
1638,Cashewnuts,70,40,60,5.86
1639,Raisins,60,30,30,5.86
1640,Coconut,20,10,30,4.86
1641,Almond Nut,70,20,10,5.86
1642,Arecanut,100,40,140,5.86
1643,Pistachio Nut,90,20,20,5.86
1644,Lemon Grass,25,40,40,5.36
1645,Cotton,120,40,20,5.36
1646,Jute,80,40,40,5.36
1647,Coffee,100,20,30,5.36
1648,Sunflower,50,60,30,5.36
1649,Rice,80,40,40,5.34
1650,Jowar(Sorghum),80,40,40,5.34
1651,Barley(JAV),70,40,45,5.34
1652,Maize,80,40,20,5.34
1653,Ragi( naachnnii),50,40,20,5.34
1654,Chickpeas(Channa),40,60,80,5.34
1655,French Beans(Farasbi),90,125,60,4.84
1656,Fava beans (Papdi - Val),90,125,60,4.84
1657,Lima beans(Pavta),40,60,20,4.84
1658,Cluster Beans(Gavar),25,50,25,4.84
1659,Soyabean,20,60,20,5.34
1660,Black eyed beans( chawli),20,60,20,5.34
1661,Kidney beans,20,60,20,5.34
1662,pigeon peas(Toor Dal),20,60,20,5.34
1663,Moth bean(Matki),20,40,20,5.34
1664,Mung beans,20,40,20,5.34
1665,Green Peas,40,35,55,5.84
1666,Horse Gram(kulthi),20,60,20,5.84
1667,Black Gram,40,60,20,4.84
1668,Rapeseed (Mohri),50,40,20,4.84
1669,Coriander seeds,90,20,20,6.34
1670,Mustard seeds,100,30,15,6.34
1671,sesame seed,30,15,30,6.34
1672,Cumin seeds,90,60,20,6.34
1673,Lentils(Masoor Dal),20,60,20,5.34
1674,Brinjal,80,15,40,6.34
1675,Beetroot,120,50,100,5.34
1676,Bitter Gourd,60,10,20,6.34
1677,Bottle Gourd,100,50,50,6.34
1678,Capsicum,100,20,60,6.34
1679,Cabbage,100,65,70,6.34
1680,Carrot,40,45,60,5.34
1681,Cauliflower,80,70,50,6.34
1682,Cucumber,60,60,85,6.34
1683,Coriander leaves,10,20,20,6.34
1684,Curry leaves,20,20,20,6.34
1685,Drumstick – moringa,40,20,10,6.34
1686,Chili,120,20,80,6.34
1687,Lady Finger,80,10,40,6.34
1688,Mushroom,100,50,60,6.34
1689,Onion,120,60,65,5.84
1690,Potato,180,60,90,4.84
1691,Pumpkin,80,50,30,5.34
1692,Radish,25,100,50,5.84
1693,Olive,100,60,30,6.34
1694,Sweet Potato,90,20,120,4.84
1695,Fenugreek Leaf(methi),30,25,40,5.84
1696,Spinach,60,60,50,5.84
1697,Ridgegourd,90,50,20,6.34
1698,Gooseberry(Amla),20,50,20,4.34
1699,Jambun(Syzygium cumini),10,10,10,4.04
1700,Ziziphus mauritiana(Bor),20,10,10,5.84
1701,Garcinia indica(kokam),40,25,50,4.04
1702,Tamarind,20,15,25,2.94
1703,Tapioca(Suran),50,50,50,5.34
1704,Garlic,50,10,60,5.34
1705,Lemon,20,10,10,2.94
1706,Tomato,100,40,90,5.84
1707,Ash Gourd,60,10,30,5.34
1708,Pineapple,160,40,120,6.34
1709,Pomegranate,20,10,40,5.34
1710,Banana,100,75,50,6.34
1711,Mango,20,20,30,4.84
1712,Grapes,20,125,200,3.84
1713,Jackfruit,75,40,50,4.84
1714,Guava,50,50,50,4.84
1715,Water Melon,100,10,50,5.34
1716,Musk Melon,100,10,50,5.34
1717,Apricot,40,50,25,6.34
1718,Apple,20,125,200,6.34
1719,Chickoo,40,30,60,4.84
1720,Custard apple,40,20,40,6.34
1721,Dates,40,125,20,6.34
1722,Figs,20,60,20,4.84
1723,Orange,20,10,10,3.84
1724,Papaya,50,50,50,5.84
1725,Aniseed,100,50,20,4.84
1726,Asafoetida,90,40,20,4.84
1727,Bay Leaf,100,50,25,4.84
1728,Black Pepper,100,60,50,4.84
1729,Cardamom,75,75,150,4.84
1730,Cinnamon,20,20,25,4.84
1731,Cloves,20,20,60,4.84
1732,Jaiphal(Nutmeg),20,20,60,4.84
1733,Ginger,40,50,20,4.84
1734,Turmeric,25,60,100,4.84
1735,Cashewnuts,70,40,60,5.84
1736,Raisins,60,30,30,5.84
1737,Coconut,20,10,30,4.84
1738,Almond Nut,70,20,10,5.84
1739,Arecanut,100,40,140,5.84
1740,Pistachio Nut,90,20,20,5.84
1741,Lemon Grass,25,40,40,5.34
1742,Cotton,120,40,20,5.34
1743,Jute,80,40,40,5.34
1744,Coffee,100,20,30,5.34
1745,Sunflower,50,60,30,5.34
1746,Rice,80,40,40,5.32
1747,Jowar(Sorghum),80,40,40,5.32
1748,Barley(JAV),70,40,45,5.32
1749,Maize,80,40,20,5.32
1750,Ragi( naachnnii),50,40,20,5.32
1751,Chickpeas(Channa),40,60,80,5.32
1752,French Beans(Farasbi),90,125,60,4.82
1753,Fava beans (Papdi - Val),90,125,60,4.82
1754,Lima beans(Pavta),40,60,20,4.82
1755,Cluster Beans(Gavar),25,50,25,4.82
1756,Soyabean,20,60,20,5.32
1757,Black eyed beans( chawli),20,60,20,5.32
1758,Kidney beans,20,60,20,5.32
1759,pigeon peas(Toor Dal),20,60,20,5.32
1760,Moth bean(Matki),20,40,20,5.32
1761,Mung beans,20,40,20,5.32
1762,Green Peas,40,35,55,5.82
1763,Horse Gram(kulthi),20,60,20,5.82
1764,Black Gram,40,60,20,4.82
1765,Rapeseed (Mohri),50,40,20,4.82
1766,Coriander seeds,90,20,20,6.32
1767,Mustard seeds,100,30,15,6.32
1768,sesame seed,30,15,30,6.32
1769,Cumin seeds,90,60,20,6.32
1770,Lentils(Masoor Dal),20,60,20,5.32
1771,Brinjal,80,15,40,6.32
1772,Beetroot,120,50,100,5.32
1773,Bitter Gourd,60,10,20,6.32
1774,Bottle Gourd,100,50,50,6.32
1775,Capsicum,100,20,60,6.32
1776,Cabbage,100,65,70,6.32
1777,Carrot,40,45,60,5.32
1778,Cauliflower,80,70,50,6.32
1779,Cucumber,60,60,85,6.32
1780,Coriander leaves,10,20,20,6.32
1781,Curry leaves,20,20,20,6.32
1782,Drumstick – moringa,40,20,10,6.32
1783,Chili,120,20,80,6.32
1784,Lady Finger,80,10,40,6.32
1785,Mushroom,100,50,60,6.32
1786,Onion,120,60,65,5.82
1787,Potato,180,60,90,4.82
1788,Pumpkin,80,50,30,5.32
1789,Radish,25,100,50,5.82
1790,Olive,100,60,30,6.32
1791,Sweet Potato,90,20,120,4.82
1792,Fenugreek Leaf(methi),30,25,40,5.82
1793,Spinach,60,60,50,5.82
1794,Ridgegourd,90,50,20,6.32
1795,Gooseberry(Amla),20,50,20,4.32
1796,Jambun(Syzygium cumini),10,10,10,4.0200000000000005
1797,Ziziphus mauritiana(Bor),20,10,10,5.82
1798,Garcinia indica(kokam),40,25,50,4.0200000000000005
1799,Tamarind,20,15,25,2.92
1800,Tapioca(Suran),50,50,50,5.32
1801,Garlic,50,10,60,5.32
1802,Lemon,20,10,10,2.92
1803,Tomato,100,40,90,5.82
1804,Ash Gourd,60,10,30,5.32
1805,Pineapple,160,40,120,6.32
1806,Pomegranate,20,10,40,5.32
1807,Banana,100,75,50,6.32
1808,Mango,20,20,30,4.82
1809,Grapes,20,125,200,3.82
1810,Jackfruit,75,40,50,4.82
1811,Guava,50,50,50,4.82
1812,Water Melon,100,10,50,5.32
1813,Musk Melon,100,10,50,5.32
1814,Apricot,40,50,25,6.32
1815,Apple,20,125,200,6.32
1816,Chickoo,40,30,60,4.82
1817,Custard apple,40,20,40,6.32
1818,Dates,40,125,20,6.32
1819,Figs,20,60,20,4.82
1820,Orange,20,10,10,3.82
1821,Papaya,50,50,50,5.82
1822,Aniseed,100,50,20,4.82
1823,Asafoetida,90,40,20,4.82
1824,Bay Leaf,100,50,25,4.82
1825,Black Pepper,100,60,50,4.82
1826,Cardamom,75,75,150,4.82
1827,Cinnamon,20,20,25,4.82
1828,Cloves,20,20,60,4.82
1829,Jaiphal(Nutmeg),20,20,60,4.82
1830,Ginger,40,50,20,4.82
1831,Turmeric,25,60,100,4.82
1832,Cashewnuts,70,40,60,5.82
1833,Raisins,60,30,30,5.82
1834,Coconut,20,10,30,4.82
1835,Almond Nut,70,20,10,5.82
1836,Arecanut,100,40,140,5.82
1837,Pistachio Nut,90,20,20,5.82
1838,Lemon Grass,25,40,40,5.32
1839,Cotton,120,40,20,5.32
1840,Jute,80,40,40,5.32
1841,Coffee,100,20,30,5.32
1842,Sunflower,50,60,30,5.32
